Name,FIPS,Percentage_Bachelor_Degree_2018
Colorado,8,24.3162
Minnesota,27,23.7033
Vermont,50,23.43
New Jersey,34,23.2757
Massachusetts,25,22.9018
District of Columbia,11,22.6103
New Hampshire,33,22.5833
North Dakota,38,21.9846
Virginia,51,21.7478
Hawaii,15,21.6079
Montana,30,21.4168
Connecticut,9,21.2338
Maryland,24,21.1624
Washington,53,21.1021
Kansas,20,20.5245
Illinois,17,20.4879
California,6,20.4544
Utah,49,20.4081
Alaska,2,20.3945
Nebraska,31,20.3818
South Dakota,46,20.1903
Wisconsin,55,19.7686
Iowa,19,19.6028
Maine,23,19.504
Oregon,41,19.4426
New York,36,19.2405
North Carolina,37,19.2349
Rhode Island,44,18.6615
Delaware,10,18.5873
Texas,48,18.3806
Georgia,13,18.3173
Wyoming,56,17.6237
Pennsylvania,42,17.5986
Idaho,16,17.5716
Florida,12,17.532
Missouri,29,17.3855
Arizona,4,17.2495
Michigan,26,16.8254
Oklahoma,40,16.7475
Ohio,39,16.6039
Tennessee,47,16.21
South Carolina,45,16.2067
Indiana,18,15.8956
Louisiana,22,15.532
Nevada,32,15.2877
New Mexico,35,15.0646
Alabama,1,14.7884
Arkansas,5,14.2003
Mississippi,28,14.0512
Kentucky,21,13.2853
West Virginia,54,11.9775
