state,age
United States,24.9
Alabama,23.3
Alaska,24.1
Arizona,23.8
Arkansas,22.7
California,25.3
Colorado,25.3
Connecticut,27.2
Delaware,25
District of Columbia,25.7
Florida,24.9
Georgia,24.4
Hawaii,25.5
Idaho,23.5
Illinois,25.1
Indiana,23.9
Iowa,24.4
Kansas,24
Kentucky,23.6
Louisiana,23
Maine,25.3
Maryland,26.1
Massachusetts,27.8
Michigan,25
Minnesota,25.9
Mississippi,22.5
Missouri,24
Montana,24.2
Nebraska,24.5
Nevada,24.2
New Hampshire,26.7
New Jersey,27.1
New Mexico,23
New York,26.4
North Carolina,24.5
North Dakota,24.3
Ohio,24.5
Oklahoma,23.1
Oregon,24.7
Pennsylvania,25.6
Rhode Island,25.9
South Carolina,23.7
South Dakota,23.7
Tennessee,23.8
Texas,23.7
Utah,23.3
Vermont,26.3
Virginia,25.7
Washington,25.3
West Virginia,23.5
Wisconsin,25.1
Wyoming,23.2
Puerto Rico,25
Virgin Islands,26.3
Guam,26.4
American Samoa,27.6
Northern Marianas,27.9
